,F1_1,F1_2,F1_3,F1_4
F1_1,9.903101396184406e-05,5.9137227475170976e-05,1.9850587905317017e-05,-2.808718464383687e-05
F1_2,5.9137227475170976e-05,3.6490226962536674e-05,1.4731765324316145e-05,-1.4592975704883376e-05
F1_3,1.9850587905317017e-05,1.4731765324316145e-05,2.9091008256982906e-05,1.5711717702188664e-05
F1_4,-2.808718464383687e-05,-1.4592975704883376e-05,1.5711717702188664e-05,3.87772428934194e-05
