,PC1,PC2,PC3,PC4,PC5
Y1,-0.6238761171115897,-0.4440788627711655,-0.6309828384310335,-0.11073175398718911,0.05631776275804055
Y2,-0.3627854436674872,0.6351747342618133,-0.18464639065296062,0.23765486495699514,-0.6118542754606895
Y3,-0.2859983730772544,0.5200985476300364,-0.042105458224734216,0.16547456613793252,0.7864780541753459
Y4,-0.44475091850186577,0.11268586633959635,0.48581634328590473,-0.7419914303919299,-0.054126831057167146
Y5,-0.44672907164148107,-0.34080260690863823,0.5744353566837159,0.5944119186284826,-0.031388081474892526
