date,F1_1,F1_2,F1_3,F1_4
2026-01-05,0.028706168352256034,0.029559745887214994,0.03043781872547191,0.031432743451563994
2026-01-06,0.028258278174777773,0.0292777541130389,0.03050728995910501,0.03163154743978813
2026-01-07,0.028508172439615898,0.029391106299752723,0.030631632421102895,0.03161058123880256
2026-01-08,0.028324958174483106,0.02921332628721296,0.03039721731189049,0.031421930741237114
2026-01-09,0.02847026541326625,0.02928243567611699,0.030487059986309406,0.031182645135302778
2026-01-12,0.028067341320892947,0.029017609353359397,0.03032644087163061,0.031333895829406044
2026-01-13,0.028354496038992316,0.02921067580263581,0.0304876970328003,0.03142077338374594
2026-01-14,0.02804202732732075,0.02901118796828528,0.030411693435057785,0.03139636280007729
2026-01-15,0.028156885322480063,0.029055603879573733,0.03013294167311864,0.03099142894202811
2026-01-16,0.02808126647951048,0.029053919834409747,0.030190313652812995,0.030912346260847157
