,PC1,PC2,PC3,PC4
F1_1,-0.8168828883554283,0.037167987121577255,0.29706573722868607,-0.4930241730485436
F1_2,-0.4911943981720125,0.09547001345653869,0.06962216981333097,0.8629984317514872
F1_3,-0.16466850585958356,0.6671630235934468,-0.7181694498120448,-0.109592082215311
F1_4,0.2536034169614039,0.7378329873444184,0.6254097397642013,0.01226568791326249
