,Y1,Y2,Y3,Y4,Y5
Y1,4.8388377121545585e-05,1.0830926523825294e-05,7.22637318806468e-06,1.8095583421208905e-05,2.5041096496307574e-05
Y2,1.0830926523825294e-05,2.8145041646520538e-05,2.2147588047202136e-05,1.5556753575349303e-05,4.489202757233016e-06
Y3,7.22637318806468e-06,2.2147588047202136e-05,1.8067749949295557e-05,1.3118255885278861e-05,4.164462165853304e-06
Y4,1.8095583421208905e-05,1.5556753575349303e-05,1.3118255885278861e-05,2.232948407608446e-05,1.9903024083275432e-05
Y5,2.5041096496307574e-05,4.489202757233016e-06,4.164462165853304e-06,1.9903024083275432e-05,2.7732527878651565e-05
